id,source_es,source_en,name,description,reviewed
frame_chaos,Marco Caos — Cambia de color. Nunca el mismo dos veces.,Chaos Frame — Changes color. Never the same.,Cadre du chaos,Change de couleur. Jamais pareil.,no
frame_divine,Marco Divino — Para el jugador que trasciende el juego.,Divine Frame — For the player who transcends.,Cadre divin,Pour le joueur qui transcende.,no
frame_infinity,Marco Infinito — Sin principio ni fin.,Infinity Frame — Without beginning or end.,Cadre infini,Sans début ni fin.,no
frame_supernova_l,"Marco Supernova — La muerte de una estrella, el nacimiento de un dios.","Supernova Frame — Death of a star, birth of a god.",Cadre Supernova,"Mort d'une étoile, naissance d'un dieu.",no
frame_black_hole_l,Marco Agujero Negro — Nada escapa a su gravedad.,Black Hole Frame — Nothing escapes its gravity.,Cadre de trou noir,Rien n'échappe à sa gravité.,no
frame_cosmic_l,Marco Cósmico — El tejido mismo del espacio-tiempo.,Cosmic Frame — The very fabric of space-time.,Cadre cosmique,Le tissu même de l’espace-temps.,no
frame_eternal_l,Marco Eterno — Inmutable ante el paso de los siglos.,Eternal Frame — Immutable before centuries pass.,Cadre éternel,Immuable avant que les siècles ne passent.,no
frame_alpha_l,Marco Alfa — El primero de su clase.,Alpha Frame — The first of its class.,Cadre Alpha,Le premier de sa catégorie.,no
frame_omega_l,Marco Omega — El final de todo camino.,Omega Frame — The end of every path.,Cadre Oméga,La fin de chaque chemin.,no
title_novice,Novato — El inicio del camino.,Novice — The beginning of the journey.,Débutant,Le début du voyage.,no
title_rookie,Recién Llegado — Aún aprendiendo.,Newcomer — Still learning.,Nouveau venu,J'apprends toujours.,no
title_regular,Jugador Regular — Ya conoces el terreno.,Regular Player — You know the terrain.,Joueur régulier,Vous connaissez le terrain.,no
title_wanderer,Vagabundo — Juega donde lo llevan las cartas.,Wanderer — Plays where the cards take them.,Vagabond,Joue là où les cartes les mènent.,no
title_veteran,Veterano — Muchas batallas en la espalda.,Veteran — Many battles on their back.,Vétéran,De nombreuses batailles sur le dos.,no
title_survivor,Superviviente — Cae pero siempre se levanta.,Survivor — Falls but always gets back up.,Survivant,Tombe mais se relève toujours.,no
title_drifter,"Trotamundos — De mesa en mesa, ganando siempre.","Globe-Trotter — Table to table, always winning.",Globe-trotter,"De table en table, toujours gagnant.",no
title_gambler,Apostador — Todo o nada en cada jugada.,Gambler — All or nothing in every play.,Joueur,Tout ou rien dans chaque pièce.,no
title_casual,"Casual — Juega por diversión, no por ganar.","Casual — Plays for fun, not to win.",Décontracté,"On joue pour s'amuser, pas pour gagner.",no
title_apprentice,Aprendiz — Siguiendo los pasos de los grandes.,Apprentice — Following in the footsteps of greats.,Apprenti,Sur les traces des grands.,no
title_traveler,Viajero — Explorando nuevos horizontes.,Traveler — Exploring new horizons.,Voyageur,Explorer de nouveaux horizons.,no
title_competitor,Competidor — Nadie dijo que sería fácil.,Competitor — Nobody said it would be easy.,Concurrent,Personne n’a dit que ce serait facile.,no
title_dreamer,Soñador — Buscando la jugada perfecta.,Dreamer — Seeking the perfect play.,Rêveur,À la recherche du jeu parfait.,no
title_believer,Creyente — Confía en el corazón de las cartas.,Believer — Trusts in the heart of the cards.,Croyant,Des confiances au cœur des cartes.,no
title_observer,Observador — Analizando cada movimiento.,Observer — Analyzing every move.,Observateur,Analyser chaque mouvement.,no
title_pro,Profesional — Dominas las cartas.,Professional — You dominate the cards.,Professionnel,Vous dominez les cartes.,no
title_strategist,Estratega — Cada jugada es calculada.,Strategist — Every play is calculated.,Stratège,Chaque jeu est calculé.,no
title_shark,Tiburón — Hambriento de victorias.,Shark — Hungry for victories.,Requin,Avide de victoires.,no
title_hustler,Buscavidas — Siempre encuentra la jugada.,Hustler — Always finds the play.,Arnaqueur,Trouve toujours le jeu.,no
title_fox,El Zorro — Astuto e impredecible.,The Fox — Cunning and unpredictable.,Le Renard,Rusé et imprévisible.,no
title_predator,Depredador — Acecha antes de atacar.,Predator — Stalks before striking.,Prédateur,Tiges avant de frapper.,no
title_trickster,El Tramposo — Tiene un as en la manga siempre.,The Cheat — Always has an ace up their sleeve.,La triche,Il a toujours un atout dans sa manche.,no
title_renegade,Renegado — No sigue reglas. Las reescribe.,Renegade — Doesn't follow rules. Rewrites them.,Renégat,Ne suit pas les règles. Les réécrit.,no
title_maverick,Maverick — Independiente. A su propio ritmo.,Maverick — Independent. At their own pace.,Non-conformiste,Indépendant. À leur rythme.,no
title_outlaw,Forajido — Juega fuera de los límites.,Outlaw — Plays outside the limits.,Hors-la-loi,Joue en dehors des limites.,no
title_shadow2,La Sombra — Invisible hasta el golpe final.,The Shadow — Invisible until the final blow.,L'Ombre,Invisible jusqu'au coup final.,no
title_comeback,El Comeback — Nunca lo cuentes fuera.,The Comeback — Never count them out.,Le retour,Ne les comptez jamais.,no
title_expert,Experto — Años de práctica dan sus frutos.,Expert — Years of practice paying off.,Expert,Des années de pratique qui portent leurs fruits.,no
title_challenger,Desafiante — Buscando al mejor para superarlo.,Challenger — Looking for the best to surpass.,Challenger,À la recherche du meilleur pour se surpasser.,no
title_mastermind,Mente Maestra — Todo sucede según su plan.,Mastermind — Everything happens according to plan.,Cerveau,Tout se passe comme prévu.,no
title_warrior,Guerrero — Lucha hasta el último suspiro.,Warrior — Fights until the last breath.,Guerrier,Se bat jusqu'au dernier souffle.,no
title_hunter,Cazador — Rastreando la victoria.,Hunter — Tracking the victory.,Chasseur,Suivi de la victoire.,no
title_joker_t,Comodín — La pieza que falta en el rompecabezas.,Wildcard — The piece missing in the puzzle.,Caractère générique,La pièce manquante au puzzle.,no
title_collector,Coleccionista — Atesora triunfos y cartas.,Collector — Treasures triumphs and cards.,Collectionneur,Trésors triomphes et cartes.,no
title_scholar_t,Sabio — El conocimiento es poder en la mesa.,Sage — Knowledge is power at the table.,Sauge,"La connaissance, c'est le pouvoir à la table.",no
title_phantom_t,Fantasmagoría — Un espejismo de victoria.,Phantasmagoria — A mirage of victory.,Fantasmagorie,Un mirage de victoire.,no
title_rogue_t,Pícaro Astuto — Nadie vio venir esa jugada.,Cunning Rogue — Nobody saw that play coming.,Voleur rusé,Personne n’a vu venir cette pièce.,no
title_noble,Noble — Jugando con honor y distinción.,Noble — Playing with honor and distinction.,Noble,Jouer avec honneur et distinction.,no
title_guardian_t,Guardián de la Mesa — Protegiendo su racha de victorias.,Table Guardian — Protecting their win streak.,Gardien de table,Protéger leur séquence de victoires.,no
title_vanguard_t,Vanguardista — Abriendo camino a nuevas estrategias.,Avant-Garde — Opening paths to new strategies.,Avant-Garde,Ouvrir la voie à de nouvelles stratégies.,no
title_grandmaster,Gran Maestro — Temido en toda la mesa.,Grand Master — Feared across every table.,Grand Maître,Craint sur toutes les tables.,no
title_phantom,El Fantasma — Nadie sabe cómo gana.,The Phantom — Nobody knows how they win.,Le Fantôme,Personne ne sait comment ils gagnent.,no
title_ace,El As — El rey de todas las cartas.,The Ace — The king of all cards.,L'As,Le roi de toutes les cartes.,no
title_overlord,El Señor — Todos le obedecen en la mesa.,The Overlord — Everyone obeys at the table.,Le suzerain,Tout le monde obéit à table.,no
title_invincible,Invencible — No ha perdido todavía. ¿Puedes vencerlo?,Invincible — Not lost yet. Can you beat them?,Invincible,Pas encore perdu. Pouvez-vous les battre ?,no
title_dark_lord,Señor Oscuro — La oscuridad le favorece siempre.,Dark Lord — Darkness always favors them.,Seigneur des Ténèbres,L'obscurité les favorise toujours.,no
title_immortal,Inmortal — No hay quien lo derrote.,Immortal — Death is an inconvenience.,Immortel,La mort est un inconvénient.,no
title_god,El Dios — Trasciende el juego mismo.,The God — Touches the divine in every play.,Le Dieu,Touche le divin dans chaque pièce.,no
title_absolute,El Absoluto — No hay comparación. Es único.,The Absolute — Beyond any limit.,L'Absolu,Au-delà de toute limite.,no
title_legend,Leyenda Viviente — Los demás te temen.,Living Legend — Stories are told of this player.,Légende vivante,On raconte des histoires sur ce joueur.,no
title_alpha,El Alfa — El primero. El último. El único.,The Alpha — The one who begins everything.,L'Alpha,Celui qui commence tout.,no
title_eternal,Eterno — Jugará para siempre. Y siempre ganará.,Eternal — Immutable across centuries.,Éternel,Immuable à travers les siècles.,no
title_omega,El Omega — El fin de todo desafío.,The Omega — The one who ends everything.,L'Oméga,Celui qui met fin à tout.,no
title_transcendent,Transcendent — Beyond the material world.,Transcendent — Beyond the material world.,Transcendant,Au-delà du monde matériel.,no
title_ocho_locos_king,Crazy Eights King — The king of Crazy Eights.,Crazy Eights King — The king of Crazy Eights.,Roi des huit fous,Le roi des Crazy Eights.,no
effect_none,Sin Efecto — Juego limpio sin efectos especiales.,No Effect — Fair play without special effects.,Aucun effet,Fair-play sans effets spéciaux.,no
effect_sparkle,Destellos — Brillo dorado al jugar tus cartas.,Sparkles — Golden shine when playing your cards.,Paillettes,Brillance dorée lorsque vous jouez vos cartes.,no
effect_bubbles,Burbujas — Efecto acuático refrescante.,Bubbles — Refreshing aquatic effect.,Bulles,Effet aquatique rafraîchissant.,no
effect_leaves,Hojas — Hojas que caen suavemente.,Leaves — Leaves falling gently.,Feuilles,Les feuilles tombent doucement.,no
effect_dust,Polvo — Partículas de tierra al mover cartas.,Dust — Dirt particles when moving cards.,Poussière,Particules de saleté lors du déplacement des cartes.,no
effect_snow_c,Nieve — Copos blancos de invierno.,Snow — Winter white snowflakes.,Neige,Flocons de neige blancs d'hiver.,no
effect_confetti,Confeti — Pequeña fiesta en cada jugada.,Confetti — Little party on every play.,Confettis,Petite fête à chaque pièce.,no
effect_stars_c,Estrellitas — Pequeños puntos de luz nocturna.,Stars — Small points of night light.,Étoiles,Petits points de veilleuse.,no
effect_rain,Lluvia — Gotas que mojan la mesa.,Rain — Raindrops on the table.,Pluie,Gouttes de pluie sur la table.,no
effect_petals,Pétalos — Suavidad floral en tus manos.,Petals — Floral softness in your hands.,Pétales,Douceur florale dans vos mains.,no
effect_sand_c,Arena — Granos de desierto volando.,Sand — Desert grains flying.,Sable,Les grains du désert volent.,no
effect_wind,Viento — Ráfagas que agitan las cartas.,Wind — Gusts shaking the cards.,Vent,Des rafales secouent les cartes.,no
effect_feathers,Plumas — Ligereza al jugar.,Feathers — Lightness when playing.,Plumes,Légèreté en jouant.,no
effect_ink,Tinta — Manchas de caligrafía antigua.,Ink — Old calligraphy stains.,Encre,Taches de calligraphie anciennes.,no
effect_steam,Vapor — Calidez que emana del tablero.,Steam — Warmth emanating from the board.,Vapeur,Chaleur émanant du tableau.,no
effect_fire,Llamas — Fuego ardiente en cada jugada.,Flames — Burning fire in every play.,Flammes,Un feu brûlant dans chaque pièce.,no
effect_ice,Hielo — Cristales de hielo que congelan el ambiente.,Ice — Ice crystals that freeze the air.,Glace,Cristaux de glace qui gèlent l'air.,no
effect_ghostly,Fantasmal — Ecos de jugadas pasadas.,Ghostly — Echoes of past plays.,Fantomatique,Échos de pièces passées.,no
effect_electric,Eléctrico — Chispas de estática.,Electric — Static sparks.,Électrique,Des étincelles statiques.,no
effect_shadow_r,Sombras — Rastros de oscuridad.,Shadows — Trails of darkness.,Ombres,Des sentiers d'obscurité.,no
effect_toxic_r,Tóxico — Nubes de veneno verde.,Toxic — Green poison clouds.,Toxique,Nuages de poison verts.,no
effect_plasma_r,Plasma — Energía ionizada.,Plasma — Ionized energy.,Plasma,Énergie ionisée.,no
effect_magnetic,Magnético — Atracción irresistible de cartas.,Magnetic — Irresistible card attraction.,Magnétique,Attraction irrésistible des cartes.,no
effect_sonar,Sonar — Ondas de sonido expansivas.,Sonar — Expansive sound waves.,Sonar,Ondes sonores expansives.,no
effect_glitch_r,Glitch — Distorsión digital leve.,Glitch — Slight digital distortion.,Problème,Légère distorsion numérique.,no
effect_cyber_r,Cyberpuntos — Conexiones de red en la mesa.,Cyberpoints — Network connections on the table.,Cyberpoints,Connexions réseau sur la table.,no
effect_crystal_r,Cristalino — Fragmentos de cuarzo.,Crystalline — Quartz fragments.,Cristallin,Fragments de quartz.,no
effect_gold_dust,Polvo de Oro — Riqueza volátil.,Gold Dust — Volatile wealth.,Poussière d'or,Une richesse volatile.,no
effect_nature_r,Naturaleza — Crecimiento instantáneo.,Nature — Instant growth.,Nature,Croissance instantanée.,no
effect_water_r,Oleaje — Marea baja en la mesa.,Swell — Low tide on the table.,Houle,Marée basse sur la table.,no
effect_wind_r,Tornado — Vórtice de cartas.,Tornado — Card vortex.,Tornade,Vortex de cartes.,no
effect_rock_r,Desprendimiento — Impactos de piedra pesada.,Landslide — Heavy stone impacts.,Glissement de terrain,Forts impacts de pierres.,no
effect_light_r,Destello Solar — Luz cegadora momentánea.,Solar Flare — Momentary blinding light.,Éruption solaire,Lumière aveuglante momentanée.,no
effect_dark_r,Eclipse — Oscuridad que oculta el juego.,Eclipse — Darkness that hides the game.,Éclipse,L'obscurité qui cache le jeu.,no
effect_acid_r,Ácido — Corrosión visual.,Acid — Visual corrosion.,Acide,Corrosion visuelle.,no
effect_lava_r,Magma — Fuego líquido denso.,Magma — Dense liquid fire.,Magma,Feu liquide dense.,no
effect_echo_r,Eco — Repetición visual de jugadas.,Echo — Visual repetition of plays.,Écho,Répétition visuelle de pièces de théâtre.,no
effect_prism_r,Prismático — Refracción de luz.,Prismatic — Light refraction.,Prismatique,Réfraction de la lumière.,no
effect_bloom_r,Florecer — Crecimiento de flores rápidas.,Bloom — Fast flower growth.,Floraison,Croissance rapide des fleurs.,no
effect_pulse_r,Pulso Arcano — Ondas de magia pura.,Arcane Pulse — Pure magic waves.,Impulsion arcanique,Des vagues magiques pures.,no
effect_thunder,Rayos — Electricidad pura al cambiar de turno.,Lightning — Pure electricity when turn ends.,Foudre,De l'électricité pure à la fin du tour.,no
effect_smoke,Humo — Misteriosa nube de humo en tus jugadas.,Smoke — Mysterious smoke cloud in plays.,Fumée,Nuage de fumée mystérieux dans les pièces de théâtre.,no
effect_supernova,Supernova — Explosión estelar al ganar.,Supernova — Stellar explosion when winning.,Supernova,Explosion stellaire en cas de victoire.,no
effect_vortex,Vórtice — Agujero de gusano en la mesa.,Vortex — Wormhole on the table.,Vortex,Trou de ver sur la table.,no
effect_meteor,Meteoro — Impacto del espacio exterior.,Meteor — Impact from outer space.,Météore,Impact de l’espace.,no
effect_aurora_e,Aurora — Cortinas de luz celestial.,Aurora — Celestial light curtains.,Aurore,Rideaux lumineux célestes.,no
effect_quantum,Cuántico — Estar en varios lugares a la vez.,Quantum — Being in several places at once.,Quantique,Être à plusieurs endroits à la fois.,no
effect_hellfire,Fuego Infernal — Llamas que consumen la suerte.,Hellfire — Flames that consume luck.,Feu de l'enfer,Des flammes qui consument la chance.,no
effect_blizzard,Ventisca — Tormenta de nieve cegadora.,Blizzard — Blinding snowstorm.,Blizzard,Tempête de neige aveuglante.,no
effect_tsunami,Tsunami — Ola gigante que barre las cartas.,Tsunami — Giant wave that sweeps cards.,Tsunami,Vague géante qui balaie les cartes.,no
effect_hurricane_e,Huracán — Viento devastador.,Hurricane — Devastating wind.,Ouragan,Vent dévastateur.,no
effect_solar_flare,Llamarada — Explosión de energía solar.,Flare — Solar energy explosion.,Flamme,Explosion d'énergie solaire.,no
effect_void_e,El Vacío — Absorción total de luz.,The Void — Total light absorption.,Le vide,Absorption totale de la lumière.,no
effect_radiance,Radiancia — Brillo sagrado cegador.,Radiance — Holy blinding shine.,Éclat,Saint éclat aveuglant.,no
effect_shatter,Fragmentación — La realidad se rompe en pedazos.,Shatter — Reality breaks into pieces.,Briser,La réalité se brise en morceaux.,no
effect_spirit,Espíritu Animado — Espectros que juegan contigo.,Animated Spirit — Specters that play with you.,Esprit animé,Des spectres qui jouent avec vous.,no
effect_corrosion,Corrosión — Desgaste instantáneo de la mesa.,Corrosion — Instant table decay.,Corrosion,Dégradation instantanée de la table.,no
effect_hyperdrive,Hiperespacio — Velocidad luz en tus jugadas.,Hyperdrive — Light speed in your plays.,Hyperpropulsion,Vitesse de la lumière dans vos jeux.,no
effect_implosion,Implosión — Colapso de energía interna.,Implosion — Internal energy collapse.,Implosion,Effondrement de l’énergie interne.,no
effect_explosion,Explosión — Caos total al jugar.,Explosion — Total chaos when playing.,Explosion,Chaos total en jouant.,no
effect_galaxy,Galaxia — Partículas del cosmos brillan al jugar.,Galaxy — Cosmic particles shine when playing.,Galaxie,Les particules cosmiques brillent en jouant.,no
effect_rainbow,Arcoíris — Colores explosivos en cada carta jugada.,Rainbow — Explosive colors on each card played.,Arc-en-ciel,Des couleurs explosives sur chaque carte jouée.,no
effect_singularity,Singularidad — Donde las leyes del juego no existen.,Singularity — Where game laws don't exist.,Singularité,Là où les lois sur le jeu n'existent pas.,no
effect_genesis,Génesis — La creación de un nuevo universo.,Genesis — The creation of a new universe.,Genèse,La création d'un nouvel univers.,no
effect_apocalypse,Apocalipsis — El fin de toda esperanza para tu rival.,Apocalypse — The end of all hope for your rival.,Apocalypse,La fin de tout espoir pour votre rival.,no
effect_eternity_e,Eternidad — Tiempo congelado en victoria.,Eternity — Time frozen in victory.,L'éternité,Le temps figé dans la victoire.,no
effect_chaos_e,Caos Absoluto — Desorden total y divino.,Absolute Chaos — Total and divine disorder.,Chaos absolu,Désordre total et divin.,no
effect_divine_e_v,Juicio Divino — Luz de justicia sobre la mesa.,Divine Judgment — Justice light over the table.,Jugement Divin,La lumière de la justice sur la table.,no
effect_nebula_l,Nebulosa Primordial — El origen de todas las jugadas.,Primordial Nebula — The origin of all plays.,Nébuleuse Primordiale,L'origine de toutes les pièces de théâtre.,no
effect_black_hole_e,Agujero Negro — Succión infinita de suerte.,Black Hole — Infinite luck suction.,Trou noir,Aspiration de chance infinie.,no
emote_gg,GG — Buen juego!,GG — Good game!,GG,Bon jeu !,no
emote_lol,LOL — Qué risa!,LOL — So funny!,Mdr,Tellement drôle !,no
emote_luck,Suerte! — Que tengas suerte!,Good luck! — Wishing you luck!,Bonne chance!,Je vous souhaite bonne chance !,no
emote_ocho,Ocho! — El grito de la victoria.,Ocho! — The victory cry!,Ocho!,Le cri de victoire !,no
emote_omg,OMG! — No puede ser!,OMG! — Can't believe it!,OH MON DIEU!,Je ne peux pas y croire !,no
emote_si,Sí! — Celebrando el momento.,Yes! — Celebrating the moment!,Oui!,Célébrons le moment !,no
emote_jaja,Jaja — Qué gracioso!,Haha — So funny!,Haha,Tellement drôle !,no
emote_bravo,Bravo! — Aplausos!,Bravo! — Applause!,Bravo!,Applaudissements!,no
emote_no,Noooo! — Imposible!,Noooo! — Impossible!,Nooon !,Impossible!,no
emote_bien,Bien jugado — Un movimiento brillante.,Well played — A brilliant move!,Bien joué,Un geste brillant !,no
emote_nice,Nice! — Qué buena jugada!,Nice! — What a great play!,Bon!,Quelle belle pièce !,no
emote_mala,Mala suerte — La suerte no estuvo.,Bad luck — Luck wasn't there.,Pas de chance,La chance n'était pas là.,no
emote_ay,Ay! — Eso dolió!,Ouch! — That hurt!,Aie!,Ça fait mal !,no
emote_tremendo,Tremendo — Qué tremenda jugada!,Tremendous! — What a tremendous play!,Formidable!,Quelle pièce formidable !,no
emote_uf,Uf! — Qué complicado!,Ugh! — So complicated!,Pouah!,Tellement compliqué !,no
emote_wow,Wow! — Qué impresionante!,Wow! — What an amazing move!,Ouah!,Quelle démarche incroyable !,no
emote_vamos,Vamos! — Arriba el equipo!,Let's go! — Come on team!,Allons-y!,Venez en équipe !,no
emote_como,Como así? — Qué acaba de pasar?,What?! — What just happened?,Quoi?!,Que vient-il de se passer ?,no
emote_aguante,Aguante! — Resistiendo todo!,Hang in! — Resisting everything!,Accrochez-vous !,Résister à tout !,no
emote_juego,Al juego! — Concentración total.,Game on! — Total concentration.,Jouez !,Concentration totale.,no
emote_rapido,Rápido! — Sin tiempo que perder!,Hurry up! — No time to waste!,Dépêche-toi!,Pas de temps à perdre !,no
emote_trampa,Trampa! — Eso no puede ser legal.,Cheater! — That can't be legal.,Tricheur!,Cela ne peut pas être légal.,no
emote_genio,Genio! — Movida de genio.,Genius! — A genius move.,Génie!,Un geste de génie.,no
emote_malo,Malo! — Esa carta era horrible.,Bad! — What a terrible card.,Mauvais!,Quelle terrible carte.,no
emote_control,Control — Yo controlo el juego.,In control — I control this game.,En contrôle,Je contrôle ce jeu.,no
emote_espera,Espera... — Pensando bien...,Wait... — Thinking carefully...,Attends...,En réfléchissant bien...,no
emote_concentra,Concentrado — En modo estrategia.,Focused — In strategy mode.,Concentré,En mode stratégie.,no
emote_suave,"Suave! — Calma, calma...",Easy now! — Take it easy...,Facile maintenant !,Allez-y doucement...,no
emote_mierda,Eso! — Exactamente lo que quería.,Yes! — Exactly what I wanted.,Oui !,Exactement ce que je voulais.,no
emote_junto,A por ellos — Vamos a ganar esto!,Let's get them! — Let's win this!,Allons les chercher !,Gagnons ça !,no
emote_imparable,Imparable! — Nadie puede detenerme.,Unstoppable! — Nobody can stop me.,Inarrêtable !,Personne ne peut m'arrêter.,no
emote_domino,Domino — Control absoluto.,Dominating — Absolute control.,Dominant,Contrôle absolu.,no
emote_fuego,Fuego! — Estoy en llamas!,On fire! — I'm on fire!,En feu!,Je suis en feu !,no
emote_maestro,Maestro — Soy el maestro de esto.,Master — I am the master of this.,Maître,Je suis le maître de cela.,no
emote_locura,Qué locura! — Esto está loco!,Madness! — This is insane!,Folie!,C'est fou !,no
emote_increible,Increíble! — No lo puedo creer!,Incredible! — I can't believe it!,Incroyable!,Je n'arrive pas à y croire !,no
emote_facil,Fácil! — Para mí es muy simple.,Easy! — That's very simple for me.,Facile!,C'est très simple pour moi.,no
emote_sinpiedad,Sin piedad — No muestro clemencia.,No mercy — I show no mercy.,Pas de pitié,Je ne montre aucune pitié.,no
emote_perfecto,Perfecto! — Exactamente como planeé.,Perfect! — Exactly as planned.,Parfait!,Exactement comme prévu.,no
emote_golpe,Qué golpe! — Esa carta fue un golpe.,What a hit! — That card was a knockout.,Quel succès !,Cette carte était un KO.,no
emote_sigue,Sigue así! — Mantén ese ritmo.,Keep it up! — Keep that rhythm.,Continuez comme ça!,Gardez ce rythme.,no
emote_tiburon,Tiburón — Depredador del juego.,Shark — Predator of the game.,Requin,Prédateur du jeu.,no
emote_estratega,Estratega — Calculé todo esto.,Strategist — I calculated all of this.,Stratège,J'ai calculé tout ça.,no
emote_victoire,Victoria! — La victoria es mía!,Victory! — Victory is mine!,Victoire!,La victoire est à moi !,no
emote_shadow,En las sombras — Nadie me ve venir.,In the shadows — Nobody sees me coming.,Dans l'ombre,Personne ne me voit venir.,no
emote_inalcanzable,Inalcanzable — Estoy más allá.,Unreachable — I'm beyond reach.,Injoignable,Je suis hors de portée.,no
emote_elrey,El Rey — El rey del tablero.,The King — The king of the table.,Le roi,Le roi de la table.,no
emote_lareina,La Reina — La reina gobierna.,The Queen — The queen reigns.,La Reine,La reine règne.,no
emote_bestia,Bestia! — Soy una bestia jugando.,Beast! — I'm a beast at playing.,Bête!,Je suis une bête pour jouer.,no
emote_fenomeno,Fenómeno — Un fenómeno del juego.,Phenomenon — A phenomenon of the game.,Phénomène,Un phénomène du jeu.,no
emote_demoledor,Demoledor — Demoliendo todo.,Demolishing — Demolishing everything.,Démolition,Tout démolir.,no
emote_superior,Superior — Soy superior en todo.,Superior — I'm superior in every way.,Supérieure,Je suis supérieur à tous points de vue.,no
emote_brillante,Brillante — Una mente brillante.,Brilliant — A brilliant mind.,Brillant,Un esprit brillant.,no
emote_espectacular,Espectacular — Fue espectacular.,Spectacular — That was spectacular.,Spectaculaire,C'était spectaculaire.,no
emote_indetenible,Indetenible — Nada me detiene.,Unstoppable — Nothing stops me.,Inarrêtable,Rien ne m'arrête.,no
emote_eldios,El Dios — El dios del Ocho Locos.,The God — The god of Ocho Locos.,Le Dieu,Le dieu d'Ocho Locos.,no
emote_locogod,El Locos — Solo un verdadero loco gana así.,Loco God — Only a true crazy wins like this.,Dieu fou,Seul un vrai fou gagne ainsi.,no
emote_ocholocos,Ocho Locos! — El grito legendario.,Ocho Locos! — The legendary battle cry.,Ocho Locos!,Le cri de guerre légendaire.,no
emote_legendario,Legendario — Un jugador de leyenda.,Legendary — A legendary player.,Légendaire,Un joueur légendaire.,no
emote_elfin,El Fin — El juego terminó. Yo gané.,The End — The game ended. I won.,La fin,Le jeu s'est terminé. J'ai gagné.,no
back_dusk,Crepúsculo — El cielo entre el día y la noche.,Twilight — The sky between day and night.,Crépuscule,Le ciel entre le jour et la nuit.,no
back_ash,Ceniza — Restos del fuego que quemó.,Ash — Remains of the fire that burned.,Frêne,Restes du feu qui a brûlé.,no
back_maple,Arce — Hojas otoñales de color cálido.,Maple — Warm colored autumn leaves.,Érable,Feuilles d'automne aux couleurs chaudes.,no
back_pearl2,Nácar — Suave como la concha del mar.,Mother of pearl — Soft like the shell of the sea.,Nacre,Doux comme la coquille de la mer.,no
back_pine,Pino — Verde profundo de montaña.,Pine — Deep mountain green.,Pin,Vert montagne profond.,no
back_coral,Coral — Vivo y brillante como el arrecife.,Coral — Vivid and bright like the reef.,Corail,Vif et lumineux comme le récif.,no
back_eclipse,Eclipse — El sol bloqueado por la luna.,Eclipse — The sun blocked by the moon.,Éclipse,Le soleil bloqué par la lune.,no
back_jade,Jade — Piedra de la suerte oriental.,Jade — Eastern lucky stone.,Jade,Pierre porte-bonheur orientale.,no
back_topaz,Topacio — Claridad dorada pura.,Topaz — Pure golden clarity.,Topaze,Clarté dorée pure.,no
back_sapphire,Zafiro — Azul profundo real.,Sapphire — Royal deep blue.,Saphir,Bleu royal profond.,no
back_amber,Ámbar — Resina que atrapa el tiempo.,Amber — Resin that traps time.,Ambre,Une résine qui emprisonne le temps.,no
back_hazel,Avellana — Calidez natural y terrosa.,Hazelnut — Natural and earthy warmth.,Noisette,Chaleur naturelle et terreuse.,no
back_solar,Solar — Poder de la estrella más cercana.,Solar — Power of the nearest star.,Solaire,Puissance de l'étoile la plus proche.,no
back_mirage,Espejismo — Ilusión óptica en la mesa.,Mirage — Optical illusion on the table.,Mirages,Illusion d'optique sur la table.,no
back_neon_future,Neón Futurista — Tecnología de punta en tus manos.,Futuristic Neon — Cutting-edge technology in your hands.,Néon futuriste,Une technologie de pointe entre vos mains.,no
back_space_galaxy,Galaxia Espacial — Nebulosa morada y azul profundo.,Space Galaxy — Purple and deep blue nebula.,Galaxie spatiale,Nébuleuse violette et bleu profond.,no
back_fire_lava,Fuego y Lava — Rojos y naranjas intensos fundidos.,Fire and Lava — Intense reds and oranges melted.,Feu et lave,Des rouges intenses et des oranges fondues.,no
back_ice_glacial,Hielo Glacial — Azules claros y blancos gélidos.,Glacial Ice — Light blues and icy whites.,Glace glaciaire,Bleus clairs et blancs glacés.,no
back_cyberpunk,Cyberpunk — Negro y amarillo neón de ciudad futura.,Cyberpunk — Black and neon yellow of future city.,Cyberpunk,Noir et jaune fluo de la future ville.,no
back_medieval,Medieval — Café oscuro y dorado antiguo.,Medieval — Dark brown and antique gold.,Médiéval,Brun foncé et or antique.,no
back_magic_crystal,Cristal Mágico — Azul translúcido y plateado.,Magic Crystal — Translucent blue and silver.,Cristal magique,Bleu translucide et argent.,no
back_retro_90s,"Retro 90s — Colores vivos magenta, cyan y amarillo.","Retro 90s — Bright magenta, cyan and yellow colors.",Rétro années 90,"Couleurs magenta, cyan et jaune vif.",no
back_tropical_jungle,Selva Tropical — Verde intenso y amarillo vibrante.,Tropical Rainforest — Intense green and vibrant yellow.,Forêt tropicale humide,Vert intense et jaune vibrant.,no
back_neon_night,Mesa Nocturna Neon — Negro con verde fosforescente.,Neon Night Table — Black with fluorescent green.,Table de nuit néon,Noir avec vert fluo.,no
back_deep_space,Espacio Profundo — El vacío de las estrellas.,Deep Space — The emptiness of the stars.,Espace profond,Le vide des étoiles.,no
back_borealis,Aurora Boreal — Luces danzantes del norte.,Aurora Borealis — Dancing lights of the north.,Aurores boréales,Lumières dansantes du nord.,no
